titulo,autores,generos,serie,sinopsis,url_libro,categoria_origen,fecha_extraccion,url_portada
Compasión por el diablo,Kent Anderson,Bélico; Novela,Hanson,"Hanson, un joven universitario reclutado por el ejército durante la guerra de Vietnam, decide unirse al cuerpo de élite de las Fuerzas Especiales tras superar el adiestramiento básico. Con la boina verde y un libro de poemas de Yeats en el bolsillo del uniforme, Hanson viaja al país asiático y en sus primeras misiones descubre con cierta sorpresa que se le da bien el oficio de matar. Compasión por el diablo (1987) supuso el debut como escritor de Kent Anderson, veterano de la guerra de Vietnam condecorado con dos Estrellas de Bronce. Considerada «moralmente repugnante» por algunos críticos y un «clásico moderno» por otros, e inédita hasta ahora en castellano, la novela de Anderson es un aterrador y embriagante periplo por la violencia, la locura y la enfermiza belleza de la batalla.",https://ww3.lectulandia.com/book/compasion-por-el-diablo/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Kent%20Anderson/Compasion%20por%20el%20diablo%20(2)/small.jpg
El paladín,Brian Garfield,Bélico; Intriga; Novela,,"El paladín es una reconstrucción histórica que, basada en hechos reales, narra las extraordinarias aventuras de un joven de quince años que ingresó en 1940 en los servicios británicos de espionaje. Churchill necesitaba un agente que pudiera actuar al otro lado de las líneas alemanas sin levantar sospechas; tenía que ser, además, alguien que supiera guardar un secreto, dotado de iniciativa para la acción, duro hasta el extremo de matar a un compatriota a sangre fría, capaz de aguantar la tortura… Así empezó la insólita carrera de un agente secreto cuya actuación fue decisiva en la retirada de las tropas inglesas en Dunkerque, en la entrada de los norteamericanos en la guerra y en otros importantes acontecimientos bélicos de la época. La escrupulosa verosimilitud de los hechos y el vigor narrativo de Brian Garfield añaden realismo y suspense a este magnífico relato de intriga y aventuras.",https://ww3.lectulandia.com/book/el-paladin/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Brian%20Garfield/El%20paladin%20(1)/small.jpg
Nadie escapará,Hans Hellmut Kirst,Bélico; Distopía; Novela,,"Noticias de los últimos días de Europa. El malestar se extiende desde Polonia hasta Berlín. Aunque los políticos y militares del Este y del Oeste intentan controlar el levantamiento, se ven abrumados por los acontecimientos. En seis días, Europa se hunde en una caída que nadie quería. Los que prepararon la guerra perecen en ella. Los que no la querían también pagaron con su vida. Todo terminará en veinticuatro horas... En su informe sobre los últimos días de Europa, Hans Hellmut Kirst describe un acontecimiento que no ocurrió pero que podría sucedernos cualquier día: la Tercera Guerra Mundial, un gigantesco ataque nuclear que arrasa con todo lo que el hombre ha creado a lo largo de los siglos. Kirst no confió solo en su imaginación. La descripción del proceso político-militar y de la catástrofe nuclear se realizó con la colaboración de reconocidos expertos.",https://ww3.lectulandia.com/book/nadie-escapara/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Hans%20Hellmut%20Kirst/Nadie%20escapara%20(10)/small.jpg
Matadero cinco (trad. Temprano García),Kurt Vonnegut,Bélico; Ciencia ficción; Novela; Otros,,"Kurt Vonnegut quería escribir una novela sobre la guerra. Pero tenía dos problemas. El primero, que le hacía volver a lo que él había sufrido: sobrevivió al bombardeo de Dresde, el más cruento de la Segunda Guerra Mundial, y fue hecho prisionero de guerra. El segundo, que le daba pavor que llevasen la historia al cine (como le advirtió que pasaría una buena amiga suya) y la interpretase una gran estrella, un actor muy machote, y los niños quisiesen ir también a la guerra y las guerras no se acabaran nunca. Pero escribió esa novela, y se prometió que sería distinta a todas las demás. Que hablaría de «la cruzada de los niños». Y que en ella habría miedo y risa y viajes en el tiempo y ternura y estupor y sorpresa y fragilidad. Y esa novela se convirtió en la gran novela antibélica de todos los tiempos. En el emblema de la contracultura de los sesenta. En uno de los mayores clásicos de la narrativa estadounidense. En este libro que ahora sostiene el lector, en el que late el corazón asustado y risueño de Vonnegut dentro de un búnker bombardeado y también la promesa infantil (y bonita) de que no habrá más guerras.",https://ww3.lectulandia.com/book/matadero-cinco-trad-temprano-garcia/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Kurt%20Vonnegut/Matadero%20cinco%20(8)/small.jpg
El secuestro del Albatros,Federico Supervielle Bergés,Aventuras; Bélico; Novela,El Albatros,"Encañonando pescadores inocentes, China se está haciendo con el Índico. Aterrorizados, los marineros solo encuentran una respuesta: su propio barco de guerra. El Albatros tendrá que enfrentarse a la organización secreta más poderosa del mundo, haciendo frente a amenazas para las que solo están diseñados fragatas y destructores. La misión es peligrosa, pero cuando el mejor agente chino lo convierta en algo personal, se volverá suicida.",https://ww3.lectulandia.com/book/el-secuestro-del-albatros/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Federico%20Supervielle%20Berges/El%20secuestro%20del%20Albatros%20(6)/small.jpg
El diablo de Sharpe,Bernard Cornwell,Aventuras; Bélico; Histórico; Novela,Richard Sharpe,"Napoleón y la independencia de Chile, 1820-1821 El teniente coronel Richard Sharpe, veterano de las guerras napoleónicas, vive como agricultor en un tranquilo retiro desde la batalla de Waterloo, sucedida cinco años antes. Pero ahora, una vez más y sin preaviso, debe atender una misión peligrosa, que supondrá además para él una batalla moral. Don Blas de Vivar, capitán general de la colonia española de Chile y viejo amigo de Sharpe, ha desaparecido sin dejar rastro. Junto con el intrépido irlandés Patrick Harper, Sharpe se embarca en un arriesgado viaje que lo llevará primero a una entrevista inesperada con Napoleón, y luego a Chile, una tierra llena de corrupción y revuelta. Pero cuando la fortuna lo conduce a manos de Lord Cochrane, el legendario genio rebelde, comienza el verdadero combate. Por tierra y por mar, Sharpe se enfrenta a probabilidades imposibles: no sólo debe encontrar a Vivar, sino sobrevivir en un momento en que la tiranía gobierna, la injusticia abunda y Napoleón vuelve a acechar en el horizonte, ansioso por reavivar la guerra e incendiar la paz.",https://ww3.lectulandia.com/book/el-diablo-de-sharpe/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Bernard%20Cornwell/El%20diablo%20de%20Sharpe%20(61)/small.jpg
La presa de Sharpe,Bernard Cornwell,Aventuras; Bélico; Histórico; Novela,Richard Sharpe,"Richard Sharpe y la expedición a Copenhague, 1807 El teniente de fusileros Richard Sharpe vive un momento complicado: su amada, lady Grace Hale, ha muerto al dar a luz, los abogados se han quedado todas sus riquezas y, por si fuera poco, en su compañía ha quedado relegado al servil trabajo de intendente. Se está planteando incluso dejar el ejército cuando, por un encuentro casual, el mayor David Baird le asigna una misión secreta en Copenhague. Dinamarca es neutral, pero tiene una flota poderosa, y Sharpe debe evitar que los daneses entreguen sus barcos de guerra a Napoleón, que busca reemplazo para los navíos que perdió en la batalla de Trafalgar. Arrastrado a una brutal guerra de espionaje, Sharpe descubre que no es más que un peón listo para ser sacrificado… Pero, a veces, los peones también pueden cambiar el destino del juego, y, una vez descubierto el traidor, decide poner sus propias normas y convertirse en el cazador de la partida en medio de una ciudad asediada por las tropas británicas.",https://ww3.lectulandia.com/book/la-presa-de-sharpe/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Bernard%20Cornwell/La%20presa%20de%20Sharpe%20(62)/small.jpg
En honor a la verdad,Patrick Sheane Duncan,Bélico; Intriga; Novela,,"Más que una novela bélica, En honor a la verdad es un penetrante análisis sobre los efectos psicológicos de la guerra. El teniente coronel Nat Serling, desacreditado a causa de un error táctico que ha costado la vida a varios soldados, es designado para investigar los méritos de la capitán Karen Emma Walden, caída en combate durante la guerra del Golfo y candidata póstuma a la Medalla de Honor, nunca antes concedida a una mujer. En apariencia se trata de una misión de rutina pero Serling pronto descubrirá que en ciertas situaciones no es fácil trazar la frontera entre el valor y el miedo. Esta novela ha sido llevada al cine por el director Ed Zwick, con Meg Ryan y Denzel Washington como protagonistas. Patrick Sheane Duncan vive en Los Ángeles y es guionista de cine. Ésta es su primera novela.",https://ww3.lectulandia.com/book/en-honor-a-la-verdad/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Patrick%20Sheane%20Duncan/En%20honor%20a%20la%20verdad%20(1)/small.jpg
Guerrero,Simon Scarrow; T. J. Andrews,Bélico; Histórico; Novela,,"Confiados en sus letales legiones y su estrategia militar, Roma comienza la conquista de Britania en el 43 d. C. Y pronto, pese a lo difícil del terreno, logrará imponer su poder y su dominio en la mayor parte del territorio, dispersando y aniquilando a un enemigo dividido y mal preparado. Pero Carataco no está dispuesto a rendirse. El ingenioso hijo menor de un rey tribal ha sido entrenado desde su nacimiento para ser el mejor de los guerreros y liderar a su pueblo. Tras ser instruido en la niñez por los druidas, el duro y constante entrenamiento lo han convertido en un príncipe fuerte y astuto, y está dispuesto a regresar al reino de su padre para encabezar la rebelión. Y será así, bajo sus órdenes, como los pueblos de Britania se preparen para repeler a un enemigo que no espera batalla alguna. Pero los britanos no luchan sólo por conservar la vida, sino también por su propia cultura, su tierra y sus gentes. Y todo ello los convierte en un oponente muy peligroso. Ahora, al fin, la batalla está a punto de empezar…",https://ww3.lectulandia.com/book/guerrero-simon-scarrow/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Simon%20Scarrow/Guerrero%20(27)/small.jpg
La voz de los valientes,Rafael Tarradas Bultó,Bélico; Histórico; Novela,,"En tiempos de paz jugaban a ser otros. En tiempos de guerra descubrieron quiénes eran en realidad. «Acordaos de los que arriesgaron, de los que se levantaron, de los que murieron por el bien. Acordaos de los que no se agacharon, de los que supieron amar en tiempos de odio. prométeme que recuerda lo que es importante. Prométeme eso. Recuerda lo importante. Es en tiempos como estos cuando la vida nos hace elegir y, al elegir, nos definimos a nosotros mismos». Baviera, Alemania. El castillo de Fallstein es uno de los más fastuosos de la zona, pero lejos de ser un remanso de paz alejado del frente, Hilda Sagnier ha visto cómo la guerra y sus consecuencias han entrado con fuerza en sus salones, como su marido, el prestigioso conde bávaro. de Fallstein, ha sido completamente seducido por Hitler. Decidida a luchar por lo que cree, la condesa no dudará en arriesgar su vida, sobrepasar sus límites y fingir ser quien no es para ayudar a los perseguidos del régimen. Mientras tanto, en Barcelona, ​​los nazis comienzan a entretener a José Manuel, pero el empresario sabe exactamente cuál es su objetivo. Él, que fue espía durante la Guerra Civil Española, pronto se verá envuelto en la misión más secreta y de capital importancia, una misión que le llevará a mezclarse con la élite alemana e interactuar con la alta sociedad de Postdam. Allí, donde todos se relajan y hablan más de lo necesario, el espía debe encontrar y destruir el arma en la que los alemanes confían su victoria. Hilda y José Manuel, dos españoles en el corazón del Tercer Reich, descubrirán que, en tiempos de guerra, nadie es quien dice ser y que a veces la urgencia y el peligro son los mejores aliados para que afloren el amor y los verdaderos sentimientos.",https://ww3.lectulandia.com/book/la-voz-de-los-valientes/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Rafael%20Tarradas%20Bulto/La%20voz%20de%20los%20valientes%20(3)/small.jpg
Patologías,Zajar Prilepin,Bélico; Novela,,"Yegor Tashevski forma parte de una de las temidas unidades de las Fuerzas Especiales del Ejército ruso destinadas a Chechenia. Ha recibido la instrucción necesaria para llevar a cabo las operaciones más arriesgadas con eficacia y coraje, y sin embargo la primera visión de una Grozni arrasada y desprovista de vida aparente, y la posibilidad de que en cualquier parte aparezcan guerrilleros chechenos, suscita en Yegor un miedo asfixiante que se filtra en todos sus pensamientos. Junto a sus compañeros, los «cazadores» más eficaces del ejército ruso, Yegor se verá muy pronto inmerso en una guerra de guerrillas que lo convertirá en presa de un enemigo invisible y lo enfrentará a otra amenaza, tal vez, peor: la locura. Patologías no es una novela ideológica, no analiza los motivos o intereses que llevaron a unos y otros a la guerra de Chechenia. Es el crudo y estremecedor testimonio de alguien que participó, y salió vivo, de un conflicto devastador que no parece tener fin.",https://ww3.lectulandia.com/book/patologias/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Zajar%20Prilepin/Patologias%20(1)/small.jpg
Vuelo final,Stephen Coonts,Bélico; Intriga; Novela,Jake Grafton,"Tras una travesía particularmente prolongada el portaaviones norteamericano United States llega al puerto de Nápoles y su tripulación goza del primer permiso en meses. Pero algo no sale bien. Algunos marineros no regresan al portaaviones y una hermosa periodista norteamericana que subió a bordo del United States en Tánger puede resultar no ser una periodista… ni siquiera norteamericana. Cuando uno de los hombres de Jake Grafton presencia en un hotel de Nápoles un intento de asesinato cometido por esta mujer Grafton se da cuenta de que la situación es aún mucho más grave de lo que creía. Lo que no sabe es que el coronel Qazi un terrorista internacional planea abordar el United States y robar algunas armas nucleares de su fuertemente custodiado arsenal. Asimismo ignora que él con más de cuarenta años y con trastornos en la visión es el único que puede detener a Qazi en un terrible combate aéreo hombre a hombre, un vuelo final.",https://ww3.lectulandia.com/book/vuelo-final-stephen-coonts/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Stephen%20Coonts/Vuelo%20final%20(2)/small.jpg
La amante del oficial,Pam Jenoff,Bélico; Histórico; Novela; Romántico,The Kommandant's Girl,"Emma Bau sólo llevaba casada tres semanas cuando los tanques nazis entraron en su Polonia natal. Unos días después, su marido se vio obligado a desaparecer, y ella acabó prisionera en el gueto judío de Cracovia, hasta que la resistencia la sacó de allí. Entonces, Emma adoptó una falsa identidad y renunció a su religión. La precaria situación de Emma no hizo más que empeorar cuando conoció al comandante Richwalder, un alto oficial nazi que la contrató como ayudante. La resistencia comenzó a presionarla para que utilizara su privilegiada posición para recabar información sobre la ocupación nazi y Emma se vio obligada a poner en peligro su vida y sus votos matrimoniales, para ayudar a la causa. Al mismo tiempo que se intensificaban las atrocidades de la guerra, lo hacía también la relación de Emma y el comandante hasta llegar a un punto en el que no sólo pondría en peligro su vida sino también la de aquéllos a los que más quería.",https://ww3.lectulandia.com/book/la-amante-del-oficial/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Pam%20Jenoff/La%20amante%20del%20oficial%20(5)/small.jpg
Tomochic,Heriberto Frías,Bélico; Novela,,"En 1892 el Noveno Batallón del Ejército Mexicano, al cual pertenecía el joven Heriberto Frías, inició campaña contra los habitantes revoltosos de Tomochic, Chihuahua, al cabo de la cual aquella población fue aniquilada. La memoria del suceso desgarró el espíritu de Frías, quien debido a su formación y experiencias, albergaba tendencias revolucionarias. Tiempo después, encuentra un artículo periodístico que describe la campaña de Tomochic. Indignado ante lo falseado del relato, escribe su versión del suceso, desfavorable al gobierno federal. El manuscrito es publicado como anónimo por un periódico oposicionista, esto suscita el escándalo público debido a las injusticias perpetradas por el régimen contra los tomochitecos, hecho que ocasionaría la clausura del periódico y la persecución de Frías, en quien recaía la sospecha de ser el autor. Tras algunos cambios de estilo y adición de detalles y episodios, Tomochic se transformó de una crónica algo precipitada e incipiente en una novela digna de un lugar en las letras mexicanas.",https://ww3.lectulandia.com/book/tomochic/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Heriberto%20Frias/Tomochic%20(1)/small.jpg
Rendidos,Lee Chang-rae,Aventuras; Bélico; Novela; Romántico,,"June Han se ha forjado una vida a miles de kilómetros del lugar donde nació: ha montado su negocio en Nueva York. Pero en su pasado hay secretos de los que no ha hablado jamás con nadie, y treinta años después de escapar de una Corea destruida por la guerra, ha llegado la hora de enfrentarse a ellos. Hector Brennan, «un fracasado de principio a fin», es el hombre que hace ya mucho tiempo salvó la vida de June. Y entre June y Hector está la historia de la hermosa y desgarrada Sylvie Tanner, cuyo amor perseguían ambos. En una travesía que los lleva desde una Corea en ruinas hasta un antiguo campo de batalla italiano, June y Hector van en busca de su pasado, unidos por un legado de espanto, violencia y amor. Lee Chang-rae propone una profunda meditación sobre la naturaleza del heroísmo y el sacrificio, el poder del amor y la posibilidad de salvarnos, de rendirnos el uno al otro.",https://ww3.lectulandia.com/book/rendidos/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Lee%20Changrae/Rendidos%20(1)/small.jpg
Las cuatro plumas (Trad. revisada),A. E. W. Mason,Aventuras; Bélico; Novela,,"La historia comienza en Inglaterra, en 1869, cuando el pequeño Harry queda impresionado por los relatos de guerra de su padre, un veterano general de Crimea, y sus viejos compañeros de armas. Años después, Harry Feversham es uno de los soldado británicos de más impecable reputación, pero, tras haber renunciado a unirse a su regimiento para una arriesgada campaña en Sudán a causa de su inminente boda con la bella Ethne, recibe una inequívoca acusación de cobardía: tres plumas blancas enviadas por sus amigos. Su amada arranca del abanico la cuarta y última pluma y rechaza contraer matrimonio con un cobarde. Consternado, decide entonces embarcarse en solitario en auxilio de sus compañeros. Y no le faltará ocasión para demostrar su valentía, ya que su batallón ha sido víctima de un devastador ataque de los rebeldes sudaneses. La vida de Feversham estará, desde ese momento, en riesgo constante, pero el sentido de la amistad y el honor moverán los hilos de su destino. Adaptada en cuatro ocasiones para el cine, Las cuatro plumas es uno de los clásicos más notables de la novela de aventuras, una obra maestra sobre los valores eternos de la amistad y el más delicioso romanticismo. No en balde, la novela está construida sobre una verdad que no podemos olvidar, pues, a veces la vida otorga la más inesperada de la bendiciones: una segunda oportunidad.",https://ww3.lectulandia.com/book/las-cuatro-plumas-trad-revisada/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/A%20E%20W%20Mason/Las%20cuatro%20plumas%20Trad%20revisada%20(1)/small.jpg
El perro de la guerra y el dolor del mundo,Michael Moorcock,Bélico; Drama; Fantástico; Novela,,"El Duque Arioch extiende sus alas. Podíamos sentir el pútrido olor de la carne muerta; manos cadavéricas se esforzaban por apresarnos. Y había otras que se acercaban tras los primeros jinetes: cosas que corrían, medio monos, medio hombres, con bandas de cuero anudado, con picas y mazas de madera, con dientes como defensas. Y tras ellos venían guerreros de trostro delgado y cuerpo esbelto, de cabellera gris flotando al viento, con libreas blancas y verdes, sin coraza. Llevaban grandes espadas de doble mano y guiaban los caballos con los muslos. Y junto a ellos había demonios, con cuernos y llenos de pústulas, cabalgando en monturas monstruosas, y había mujeres cuyos dientes habían sido limados para que tuvieran punta, y mujeres con jetas de cerdo, y apariciones cuya carne parecía líquida.",https://ww3.lectulandia.com/book/el-perro-de-la-guerra-y-el-dolor-del-mundo/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Michael%20Moorcock/El%20perro%20de%20la%20guerra%20y%20el%20dolor%20del%20mundo%20(17)/small.jpg
A las 82 horas de la III Guerra Mundial,Domingo Pastor Petit,Bélico; Drama; Novela,,"¿Por qué no pudieron ni supieron, la Casa Blanca y el Kremlin evitar la III Guerra Mundial…? Esta obra de ficción ofrece una hipótesis -quizá la más verosímil y probable- acerca del peligro de lo que puede ocurrir si no se evitan ciertas trampas de terceros… Y lo que puede suceder en un conflicto de tal naturaleza es… la total destrucción del planeta Tierra. Con las actuales reservas de armas ABQ se puede matar cientos de veces todo vestigio de vida animal o vegetal y provocar cataclismos planetarios que hagan luego inhabitable nuestro mundo. Esta obra, escrita por un conocido espiólogo, describe las luchas CIA-KGB en España, así como la actual problemática internacional con los furúnculos de siempre: Imperialismo, Golpismo, Maquiavelismo de la lucha subterránea, Terrorismo, etc. El autor ha utilizado una información fidedigna y rigurosamente científica. En consecuencia, esta terrorífica hipótesis puede convertirse mañana -hoy, lector- en una realidad apocalíptica e irreversible. Todos podemos influir para que no se produzca este suicida estallido, pero fundamentalmente los políticos y militares de la URSS y de los Estados Unidos. Esta obra constituye, pues, un aviso y un ejemplo.",https://ww3.lectulandia.com/book/a-las-82-horas-de-la-iii-guerra-mundial/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Domingo%20Pastor%20Petit/A%20las%2082%20horas%20de%20la%20III%20Guerra%20Mundial%20(1)/small.jpg
Posthoméricas,Quinto de Esmirna,Aventuras; Bélico; Poesía,Biblioteca Clásica Gredos,"Quinto de Esmirna, autor del que se tienen muy pocos datos, y no del todo fiables, compuso, en torno a los siglos III o IV de nuestra era, las Posthoméricas , poema en catorce libros cuya finalidad era seguir el ciclo épico troyano allí donde lo dejó Homero y convertirse en continuación natural de la Ilíada .",https://ww3.lectulandia.com/book/posthomericas/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Quinto%20de%20Esmirna/Posthomericas%20(1)/small.jpg
Cuentos de la Guerra Civil,Ambrose Bierce,Bélico; Relato,,"En 1861, tras un año en una academia militar, Ambrose Bierce se alistó en el Noveno Regimiento de Voluntarios de Indiana. Participó en algunas de las batallas más sangrientas de la Guerra Civil norteamericana, incluyendo la de Chickamauga, donde 34 000 hombres perdieron la vida. Arriesgó su pellejo en dos ocasiones para rescatar a compañeros caídos y, en 1864, resultó gravemente herido en la batalla de Kennesaw. Los cuentos de esta selección constituyen algunos de los mejores ejemplos de la obra de Bierce. Apoyándose sólidamente en su propia experiencia bélica, describe el lado oscuro de la naturaleza humana. Con un estilo sombrío y resuelto, da vida a personajes esculpidos por una época feroz y que reflejan su propia personalidad: alienación, agudeza irónica y fatalismo.",https://ww3.lectulandia.com/book/cuentos-de-la-guerra-civil/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Ambrose%20Bierce/Cuentos%20de%20la%20Guerra%20Civil%20(11)/small.jpg
La rosa de California,Jesús Maeso de la Torre,Bélico; Histórico; Novela,,"Año del Señor de 1781, misión de San Gabriel, California. El padre prior, fray Daniel Cepeda, alarmado ante la oleada de asaltos de los indios yumas (cuya inequívoca y cruel firma es dejar clavados, a la vista de todo el mundo, los despojos de sus víctimas con espinas del arbusto conocido como «rosa de California») escribe alarmado al gobernador y capitán general don Felipe de Neve solicitando el amparo de los dragones de su majestad el rey. Los indómitos guerreros yuma, entre ellos la joven Luna Solitaria, son cada vez más temibles en sus incursiones. Si antes habían sido los comanches sus objetivos de sangre, ahora eran los blancos y en especial los frailes de las misiones hispanas y quienes vivían en ellas, mestizos, criollos y mexicanos. Deberán ahora enfrentarse a las tropas del capitán de dragones Martín de Arellano, conocido en todo el virreinato de Nueva España, desde las selvas de Guatemala hasta Arkansas, como el Capitán Grande, como lo llamaban los comanches tónkawas, los siri, wichitas y yumas.",https://ww3.lectulandia.com/book/la-rosa-de-california/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Jesus%20Maeso%20de%20la%20Torre/La%20rosa%20de%20California%20(17)/small.jpg
Los favores de la Fortuna,Frederic Manning,Bélico; Novela,,"El soldado raso Bourne, voluntario del ejército británico destinado al Somme, no es como los demás: su poca presencia física y su manera respetuosa de hablar indican que se trata de un hombre educado y de buena posición. En el ejército, Bourne es una anomalía que sus superiores insisten en corregir ofreciéndole promoción. Pero Bourne, sin heroísmo, sin convicciones, de un modo que a todos resulta enigmático, se resiste a abandonar a sus compañeros y a librarse del sombrío destino reservado a quienes combaten en el lodazal del Somme bajo una lluvia de acero. Publicada por primera vez en 1929 con seudónimo —debido al carácter escandaloso de su crudo realismo y de su fiel reproducción del lenguaje soez de los soldados—, Los favores de la Fortuna se nutre de las experiencias de Frederic Manning como soldado raso en la batalla del Somme —la más sangrienta de la historia del ejército británico— y de un talento literario único. Considerada hoy en día un clásico indiscutible de la literatura de la Gran Guerra, suscitó encendidos elogios de ilustres como T. E. Lawrence, T. S. Eliot, E. M. Forster, Ezra Pound y Ernest Hemingway, quien afirmaba leerla todos los años «para recordar cómo fueron realmente las cosas, de manera que nunca tenga que mentirme ni a mí ni a nadie sobre esto».",https://ww3.lectulandia.com/book/los-favores-de-la-fortuna/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Frederic%20Manning/Los%20favores%20de%20la%20Fortuna%20(1)/small.jpg
El partisano Johnny,Beppe Fenoglio,Bélico; Novela,,"Un joven estudiante italiano, crecido en el mito de la literatura y el mundo inglés, decide unirse, tras la desbandada del ejército italiano del 8 de septiembre de 1943, a los partisanos que luchan en las colinas del norte de Italia contra los nazis y los fascistas. Pronto descubrirá amargamente que la vida partisana se encuentra muy alejada del ideal que había alimentado; sin embargo, Johnny —su nombre de guerra— no abandonará la temeraria determinación de combatir en las colinas, derrota tras derrota, contra un enemigo muy superior. La epopeya de Johnny, parecida a la de muchos jóvenes antifascistas de aquella generación, adquiere en el relato de Fenoglio, a través de un lenguaje en perpetua invención, una dimensión existencial que solo encontramos en las grandes obras de la literatura universal. El partisano Johnny , traducida ahora por primera vez al castellano, es una las novelas más relevantes de la literatura italiana del siglo XX, y uno de los relatos sobre juventud en guerra más hermosos jamás escritos.",https://ww3.lectulandia.com/book/el-partisano-johnny/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Beppe%20Fenoglio/El%20partisano%20Johnny%20(1)/small.jpg
Los mártires de Pyongyang,Richard E. Kim,Bélico; Novela; Otros,,"Durante las primeras semanas de la Guerra de Corea, el joven capitán Lee del ejército de Corea del Sur recibe el encargo de investigar el secuestro y asesinato de varios sacerdotes cristianos por parte de las fuerzas comunistas. La propaganda de guerra quiere convertir en mártires a los sacerdotes, pero el capitán Lee alberga dudas sobre el comportamiento de los religiosos ante el pelotón de fusilamiento. El silencio de un sacerdote superviviente no hace más que acrecentar el enigma sobre lo que realmente aconteció, y el capitán Lee se pregunta a sí mismo si es legítimo maquillar la verdad en aras de la causa bélica. Pero a medida que el enigma sea progresivamente revelado, el capitán Lee se verá enfrentado a una verdad cuya naturaleza excede los límites de la maquinaria de la guerra.",https://ww3.lectulandia.com/book/los-martires-de-pyongyang/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Richard%20E%20Kim/Los%20martires%20de%20Pyongyang%20(1)/small.jpg
Minué para guitarra,Vitomil Zupan,Bélico; Novela,,"Tras evadirse del campo de concentración italiano de Gonars, donde estaba encerrado como miembro del Frente de Liberación Nacional de Eslovenia, Jakob Bergant «Berk» regresa a Ljubljana. La ciudad, tomada por los alemanes, no es un lugar seguro y Berk decide unirse a los partisanos que luchan contra el poderoso ejército alemán en las colinas próximas a la capital eslovena. En compañía de un heterogéneo grupo de hombres inexpertos y mal equipados, Berk hará frente al invasor alemán mientras trata de procurarse un rifle en condiciones. A la cruda narración de la experiencia bélica, el autor yuxtapone las conversaciones de Berk, de vacaciones en Mallorca treinta años después, con un antiguo soldado alemán que combatió en la misma zona. Los dos hombres tratan de dar sentido a sus recuerdos bélicos en una danza macabra que les devuelve al pasado y mina las certezas de cada uno. Publicada originalmente en 1975 e inédita en castellano, Minué para guitarra es una ficción magistral sobre los horrores y las pequeñas comedias de la guerra, así como una exploración de la moralidad en un periodo convulso de la historia reciente de Europa.",https://ww3.lectulandia.com/book/minue-para-guitarra/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Vitomil%20Zupan/Minue%20para%20guitarra%20(1)/small.jpg
"Hart, el zulú",Saul David,Aventuras; Bélico; Histórico; Novela,Un mestizo al servicio del Imperio,"George Hart sólo quiere servir a su patria y honrar a su familia. Pero eso no es fácil para un joven hijo de una actriz mulata y de un hombre del que sólo sabe que ocupa una importante posición social y que le ha puesto unas durísimas condiciones para acceder a una cuantiosa suma de dinero que le proporcionará tranquilidad tanto a él como a su madre. A pesar de los obstáculos que su origen y el color de su piel plantean, Hart consigue iniciar una prometedora carrera en el ejército. Hasta que debido a un asesinato más o menos fortuito, se ve obligado a viajar a Sudáfrica, donde pretende entrar en el negocia de las explotaciones mineras. Sin embargo, al estallar las guerras zulús, decide alistarse voluntario, sin saber que ello le obligará a luchar contra su propia familia.",https://ww3.lectulandia.com/book/hart-el-zulu/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Saul%20David/Hart%20el%20zulu%20(3)/small.jpg
